GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,AbstractBallBearing,0,42,0,4,0,13,0,7,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,SprocketForMetricRollerChain,0,20,0,0,0,6,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,OrderManager,0,768,5,77,0,137,5,47,0,11
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,SprocketForansiRollerChain,0,20,0,0,0,6,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,Measurement,0,118,1,17,0,28,1,16,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,PrecisionBallBearing,0,21,0,0,0,6,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,SealType,0,38,0,0,0,3,0,4,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,AbstractSprocket,0,35,0,4,0,11,0,6,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,Price,0,78,2,10,0,20,2,9,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,RotaryShaft,0,17,0,0,0,5,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,Fraction,1,172,7,39,0,27,7,23,0,7
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,SystemOfMeasurement,0,38,0,0,0,3,0,4,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,AbstractStockItem,0,66,2,10,0,18,2,9,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,AbstractRotaryShaft,0,18,0,0,0,6,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,InvalidConstructorArgumentsException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,InvalidHashMapKeyException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,NullValueException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.assignment2,StockService,0,152,0,0,0,11,0,3,0,3
